,x
1,460905
2,447369
3,193767
4,558211
5,193776
6,447388
7,94843
8,194002
9,94876
10,58527
11,194077
12,194206
13,194207
14,460981
15,194234
16,94977
17,194259
18,431797
19,431800
20,460991
21,194329
22,447475
23,194364
24,194378
25,194392
26,420248
27,194503
28,194523
29,194541
30,95131
31,95135
32,194559
33,194585
34,194603
35,194640
36,194671
37,194746
38,194767
39,194791
40,425800
41,447585
42,194826
43,462021
44,448701
45,448718
46,199429
47,448733
48,199511
49,97481
50,199525
51,199538
52,199589
53,462097
54,433336
55,97616
56,199805
57,43605
58,360667
59,222012
60,360691
61,439441
62,222091
63,428696
64,439475
65,417285
66,222174
67,59279
68,108250
69,439477
70,439478
71,41396
72,439479
73,222192
74,312754
75,439480
76,69517
77,454103
78,108266
79,222218
80,222225
81,108272
82,222233
83,222234
84,466407
85,108276
86,454109
87,222247
88,222248
89,360776
90,454112
91,222253
92,454114
93,417293
94,422900
95,222266
96,222267
97,108292
98,222272
99,466417
100,454120
101,108295
102,360789
103,439509
104,222283
105,108303
106,222319
107,360815
108,439523
109,446741
110,251033
111,222390
112,222458
113,360896
114,439581
115,222505
116,222512
117,360925
118,471816
119,251085
120,125530
121,422938
122,222665
123,108503
124,632068
125,454253
126,417368
127,222838
128,454278
129,222899
130,222911
131,446779
132,446787
133,77679
134,222928
135,414003
136,466578
137,466584
138,108677
139,522907
140,251333
141,454343
142,108711
143,223134
144,223135
145,223140
146,69852
147,312920
148,417423
149,223147
150,108724
151,223181
152,466615
153,439779
154,108768
155,251365
156,454384
157,108791
158,223324
159,69924
160,454389
161,439818
162,361255
163,108849
164,454415
165,108857
166,466663
167,448803
168,351383
169,462143
170,97718
171,448868
172,200104
173,462184
174,351482
175,200140
176,200154
177,448909
178,433474
179,309174
180,200297
181,351559
182,433495
183,200323
184,200328
185,448933
186,454428
187,454431
188,54691
189,631889
190,439880
191,108941
192,223651
193,361363
194,417468
195,223661
196,223662
197,223664
198,108949
199,108950
200,69975
201,223677
202,47312
203,454467
204,108963
205,223738
206,109000
207,70025
208,417487
209,454484
210,417491
211,454486
212,454487
213,466716
214,223796
215,454491
216,47954
217,70033
218,251486
219,460413
220,446853
221,423073
222,361495
223,317517
224,446871
225,223978
226,224003
227,466755
228,466757
229,122142
230,224222
231,122165
232,251712
233,122188
234,122203
235,466815
236,122210
237,42019
238,440113
239,109378
240,361748
241,440159
242,122256
243,351578
244,200360
245,200470
246,97974
247,98020
248,449012
249,200648
250,449017
251,420848
252,454728
253,224916
254,224935
255,224946
256,224974
257,466965
258,466966
259,466980
260,251960
261,122318
262,471492
263,225159
264,225160
265,225232
266,225269
267,252031
268,122361
269,252048
270,467017
271,47046
272,252100
273,225473
274,109840
275,225553
276,225626
277,109892
278,109901
279,362191
280,225692
281,454930
282,109913
283,70568
284,454935
285,109943
286,225859
287,225862
288,362262
289,225870
290,252231
291,252260
292,110008
293,226021
294,454995
295,252292
296,98118
297,449069
298,200849
299,462330
300,200896
301,200939
302,449089
303,98188
304,201010
305,201024
306,462359
307,201091
308,449114
309,201100
310,98252
311,449122
312,433731
313,201307
314,110098
315,110112
316,110123
317,440520
318,440538
319,440539
320,51967
321,252362
322,110233
323,455093
324,122538
325,110328
326,226640
327,226648
328,122557
329,226709
330,440689
331,252428
332,110478
333,110479
334,53703
335,226938
336,252465
337,227000
338,110524
339,455216
340,110552
341,440830
342,467324
343,423385
344,110596
345,110608
346,440863
347,110687
348,110688
349,467381
350,455306
351,71084
352,227450
353,455316
354,440938
355,440940
356,440941
357,440947
358,467394
359,227462
360,227463
361,440950
362,423428
363,227468
364,440955
365,227474
366,110761
367,227478
368,440958
369,227482
370,440960
371,558209
372,313654
373,98349
374,98384
375,449182
376,462437
377,201560
378,449231
379,462457
380,201654
381,433854
382,449248
383,98527
384,98528
385,201674
386,98532
387,98533
388,201677
389,433869
390,557984
391,462475
392,433885
393,98560
394,201725
395,433897
396,98575
397,110781
398,110785
399,467421
400,227656
401,467431
402,227706
403,441009
404,363099
405,227759
406,373337
407,467451
408,227867
409,252696
410,227936
411,227994
412,228000
413,455447
414,228125
415,111072
416,363297
417,363321
418,363324
419,228248
420,52859
421,467542
422,111127
423,111129
424,467547
425,111137
426,111138
427,228303
428,111143
429,455517
430,455521
431,252787
432,111163
433,363369
434,228381
435,228406
436,363417
437,252861
438,111234
439,111237
440,228523
441,228568
442,228570
443,58975
444,467601
445,252871
446,111272
447,467610
448,201779
449,201788
450,63311
451,201984
