ID	EH1516A	EH1516C	EH1516D	EH217A	EH217C	EH217D
"100000"	10	32	52	450	444	498
"100004"	154	111	131	475	794	750
"100007"	97	62	83	227	354	137
"100011"	9	55	94	78	106	90
"100015"	2	3	4	22	58	44
"100016"	16	18	40	67	124	119
"100019"	41	33	47	282	435	408
"100025"	125	44	66	683	616	427
"100036"	53	23	29	280	282	346
"100039"	6	11	9	48	70	59
"100046"	31	57	15	25	79	21
"100055"	181	65	54	83	36	39
"100056"	35	58	57	275	415	280
"100060"	357	68	63	62	67	24
"100061"	53	83	103	155	375	209
"100064"	0	0	0	8	11	4
"100066"	230	139	327	496	466	492
"100082"	81	31	49	242	228	268
"100083"	0	0	0	56	33	24
"100089"	11	2	7	108	101	12
"100094"	0	0	0	0	1	1
"100097"	293	207	100	865	668	1405
"100098"	1200	223	239	2720	1677	3949
"100108"	16	27	32	52	93	52
"100112"	22	55	203	67	157	94
"100127"	126	58	71	68	31	38
"100128"	7	3	13	1	1	2
"100131"	38	61	108	174	372	196
"100133"	383	119	131	426	461	334
"100134"	55	31	40	24	32	20
"100135"	1302	1368	996	1865	2089	1733
"100136"	0	0	0	70	60	88
"100138"	46	68	98	148	147	133
"100143"	46	30	52	152	199	126
"100149"	86	187	67	546	185	794
"100153"	43	23	24	287	299	258
"100158"	272	630	410	848	2025	1218
"100162"	898	670	406	1039	810	1121
"100175"	23	11	9	0	0	0
"100184"	0	0	0	17	35	30
"100185"	11	22	57	88	83	99
"100186"	16	30	57	79	109	106
"100200"	0	1	0	14	8	6
"100203"	0	0	0	6	21	19
"100213"	0	0	1	0	0	7
"100217"	0	0	1	19	15	18
"100218"	87	118	226	221	161	227
"100245"	3	0	3	1	4	1
"100259"	79	25	49	95	168	110
"100265"	41	18	43	39	69	52
"100269"	43	27	58	149	218	157
"100274"	23	22	68	62	7	2
"100277"	69	153	157	397	496	457
"100285"	0	0	2	0	16	2
"100287"	5	4	10	41	75	83
"100295"	87	67	94	512	508	480
"100296"	26	28	53	151	244	146
"100297"	4	0	0	2	0	2
"100311"	52	46	48	143	183	112
"100319"	8	3	5	1	1	2
"100320"	15	46	61	97	54	216
"100321"	209	276	377	467	545	638
"100360"	103	200	247	79	69	76
"100364"	0	0	0	0	1	0
"100366"	29	27	50	134	244	166
"100369"	1	1	1	2	2	1
"100399"	0	0	0	0	0	1
"100402"	1	0	6	870	765	1296
"100415"	0	0	1	14	47	36
"100417"	11	44	30	56	59	77
"100420"	83	52	105	194	229	205
"100421"	182	1139	606	867	785	1648
"100426"	8	0	2	0	0	0
"100428"	26	25	46	119	115	82
"100431"	671	422	183	187	264	105
"100432"	14	3	1	89	157	171
"100437"	13	27	28	62	83	75
"100442"	0	0	0	0	0	0
"100471"	0	1	0	19	58	58
"100475"	70	36	28	236	396	354
"100482"	4	3	7	88	122	94
"100487"	20	30	18	101	195	65
"100491"	24	9	24	80	291	89
"100504"	56	18	32	48	92	51
"100526"	15	11	25	127	150	97
"100527"	0	0	0	10	22	13
"100529"	153	396	343	677	1079	752
"100530"	1	0	0	0	1	1
"100536"	21	10	24	633	539	744
"100538"	21	19	23	185	148	123
"100546"	107	24	46	189	172	180
"100548"	19	14	22	28	121	48
"100554"	1	2	0	0	0	0
"100578"	40	56	80	191	185	140
"100579"	8	18	38	43	42	103
"100582"	70	56	131	283	629	308
"100584"	8	13	9	23	45	34
"100590"	9	10	26	60	51	117
"100593"	0	0	0	0	22	14
"100594"	148	42	67	128	144	119
"100595"	14	5	26	82	95	84
"100598"	12	28	49	2	10	5
"100599"	6	3	3	27	42	53
"100604"	1	4	1	5	7	6
"100621"	2	1	3	27	50	52
"100633"	10	37	46	137	185	22
"100640"	393	104	191	437	763	454
"100641"	0	0	0	0	0	0
"100648"	14	31	27	48	83	92
"100655"	2	1	1	13	36	29
"100656"	484	188	26	693	811	437
"100672"	792	301	258	3	9	6
"100679"	59	12	39	184	53	43
"100688"	1919	525	359	919	673	581
