,x
1,193707
2,431682
3,447369
4,193771
5,193776
6,193798
7,193893
8,431715
9,193948
10,94838
11,194005
12,431735
13,420217
14,94876
15,194076
16,60986
17,94945
18,194205
19,194207
20,94965
21,61017
22,94972
23,94977
24,194234
25,447461
26,194260
27,431797
28,631964
29,94995
30,95001
31,194337
32,308227
33,461000
34,61107
35,95103
36,425773
37,60950
38,431884
39,95150
40,194610
41,95174
42,194640
43,447544
44,95190
45,194740
46,194768
47,461085
48,461087
49,431956
50,45750
51,447603
52,60965
53,431977
54,351161
55,97396
56,97438
57,351247
58,199513
59,199510
60,97480
61,97481
62,420729
63,62524
64,97629
65,199803
66,446726
67,221999
68,108180
69,312726
70,222043
71,360691
72,222063
73,222090
74,222114
75,222113
76,417285
77,439475
78,222176
79,59279
80,108250
81,439477
82,41396
83,439478
84,222184
85,222188
86,222190
87,222192
88,312754
89,222199
90,439480
91,439486
92,108266
93,108272
94,222233
95,222234
96,108276
97,454109
98,222249
99,222247
100,454112
101,222253
102,454115
103,417293
104,222263
105,422900
106,222266
107,222267
108,222272
109,222271
110,466417
111,439509
112,360789
113,222283
114,466422
115,439520
116,222333
117,222340
118,108338
119,108376
120,69586
121,222459
122,312801
123,466466
124,439568
125,360896
126,222477
127,222478
128,454184
129,466477
130,454190
131,222515
132,222531
133,121882
134,471366
135,121887
136,222563
137,108460
138,222665
139,222694
140,454243
141,222729
142,222774
143,222780
144,222779
145,108588
146,439681
147,361066
148,79828
149,420005
150,446787
151,446794
152,446809
153,54705
154,77679
155,439707
156,60733
157,108626
158,454304
159,222979
160,222988
161,223000
162,414003
163,422986
164,223026
165,454319
166,361177
167,121997
168,251320
169,251334
170,223115
171,223118
172,466602
173,439774
174,223134
175,108711
176,223135
177,223140
178,466606
179,69852
180,223147
181,417423
182,223163
183,223181
184,466615
185,439779
186,361204
187,223321
188,69924
189,108819
190,454399
191,223383
192,223396
193,361255
194,466659
195,454415
196,108857
197,60239
198,420746
199,351378
200,351375
201,199862
202,462146
203,199994
204,200046
205,62701
206,351475
207,200122
208,462184
209,448890
210,97795
211,309158
212,62679
213,97842
214,62761
215,200297
216,462213
217,97870
218,462214
219,351557
220,200321
221,433495
222,454430
223,454433
224,423031
225,312991
226,108935
227,439880
228,423042
229,108941
230,223644
231,361363
232,417468
233,223661
234,108949
235,47312
236,631929
237,223680
238,223690
239,223707
240,223768
241,43403
242,454484
243,454491
244,223799
245,223798
246,454492
247,70033
248,251475
249,251487
250,460416
251,372968
252,446853
253,372975
254,439942
255,223878
256,223912
257,361495
258,251598
259,109149
260,251618
261,122143
262,70141
263,361612
264,361611
265,224272
266,373026
267,471457
268,313096
269,70177
270,454619
271,224400
272,428968
273,454632
274,224437
275,224435
276,446920
277,70246
278,440099
279,224518
280,224520
281,428982
282,454656
283,440119
284,440113
285,471473
286,224653
287,122255
288,200366
289,448946
290,200375
291,53528
292,97941
293,448985
294,97994
295,200584
296,433595
297,433598
298,200616
299,449016
300,200654
301,200696
302,462293
303,200722
304,433645
305,420848
306,200819
307,109526
308,361883
309,440222
310,361914
311,460475
312,251888
313,440250
314,225015
315,440259
316,70323
317,109605
318,225078
319,109609
320,466980
321,446942
322,251931
323,251960
324,251961
325,122318
326,225160
327,225233
328,225268
329,460498
330,122357
331,122361
332,225325
333,252098
334,252099
335,252101
336,225473
337,225488
338,313274
339,225493
340,454889
341,109813
342,70490
343,109829
344,362165
345,252134
346,362182
347,225688
348,225687
349,362191
350,467074
351,225699
352,225701
353,225709
354,60186
355,109919
356,52508
357,70565
358,454943
359,77912
360,252153
361,252154
362,225933
363,110008
364,225939
365,440477
366,225994
367,225993
368,110035
369,226022
370,200832
371,449069
372,433678
373,433689
374,351838
375,98189
376,201011
377,98199
378,351851
379,201024
380,201067
381,201068
382,98237
383,433711
384,201102
385,433718
386,201165
387,433750
388,62996
389,110082
390,110081
391,110111
392,226228
393,440539
394,226459
395,252377
396,252392
397,226526
398,70818
399,110315
400,467226
401,362575
402,110349
403,226650
404,467234
405,110364
406,122556
407,455141
408,226722
409,226738
410,455151
411,226774
412,440692
413,226780
414,362649
415,252428
416,471548
417,110455
418,110478
419,110492
420,362735
421,226937
422,227000
423,110524
424,110523
425,440779
426,227027
427,362787
428,227084
429,252508
430,423383
431,440839
432,467327
433,440884
434,227277
435,110687
436,440922
437,362970
438,227396
439,467381
440,455309
441,227427
442,227438
443,227442
444,455316
445,227451
446,440938
447,440947
448,440948
449,227462
450,423428
451,440950
452,440953
453,71095
454,455326
455,110761
456,227478
457,227479
458,440958
459,227485
460,227496
461,309350
462,98349
463,98351
464,201324
465,201325
466,449171
467,449178
468,449181
469,201402
470,201398
471,201399
472,201406
473,98399
474,201530
475,201581
476,201586
477,98528
478,352122
479,98533
480,201677
481,201680
482,433869
483,557984
484,201689
485,227525
486,441004
487,110869
488,227725
489,373341
490,363109
491,363154
492,227868
493,227936
494,455442
495,363223
496,53460
497,441099
498,228023
499,228077
500,111040
501,441119
502,228127
503,111067
504,228225
505,363321
506,111116
507,52859
508,441174
509,111126
510,56719
511,111129
512,111137
513,441178
514,111138
515,252780
516,122725
517,111164
518,228365
519,363369
520,111194
521,228463
522,111210
523,58003
524,111223
525,71357
526,111234
527,441246
528,363433
529,467595
530,228568
531,363453
532,58975
533,122765
534,111272
535,228639
536,201779
537,46551
538,462501
539,449279
540,98619
541,98671
542,201997
543,433971
544,202045
545,202044
546,55395
547,202049
548,352297
549,202055
550,202056
551,98713
552,202059
553,63309
554,98715
555,352298
556,202074
557,352299
558,462569
559,63257
560,63314
561,202096
562,202100
563,415154
564,449345
565,98742
566,59784
567,441323
568,363562
569,228753
570,228762
571,71444
572,41925
573,228764
574,71435
575,228784
576,111367
577,71449
578,363571
579,228801
580,111379
581,111381
582,228817
583,441330
584,228819
585,429362
586,228823
587,71457
588,111411
589,228883
590,441372
591,252970
592,252978
593,228967
594,363634
595,228972
596,228990
597,558179
598,48524
599,441396
600,441398
601,229054
602,414070
603,229080
604,229123
605,111522
606,111521
607,441468
608,229256
609,111589
610,467717
611,111596
612,455715
613,229298
614,111634
615,54726
616,229363
617,363818
618,229392
619,229422
620,229484
621,48949
622,467765
623,313977
624,455768
625,441542
626,229546
627,229544
628,229545
629,111736
630,229561
631,363892
632,314013
633,229733
634,455818
635,253153
636,229844
637,111909
638,364065
639,455860
640,229918
641,467836
642,364076
643,98778
644,202418
645,202471
646,434115
647,434127
648,434138
649,230039
650,111973
651,230216
652,230217
653,230218
654,455934
655,230285
656,441741
657,112111
658,230341
659,230394
660,112162
661,230481
662,230499
663,230518
664,230575
665,230577
666,230590
667,456031
668,230713
669,122975
670,230761
671,230770
672,456063
673,230791
674,230824
675,456074
676,230880
677,112369
678,50076
